Class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
1,20000,407,1355,5686,5297,3022,316,3012,224,292,3089,139,164,126,104,150
1,20000,201,1013,5072,7550,2933,519,2858,266,468,5813,0,170,0,0,108
1,20000,287,1091,5161,8324,2809,543,2400,291,469,3003,136,191,103,196,132
1,20000,223,754,5493,4989,2714,685,5284,423,702,7883,57,176,89,176,158
1,20000,167,1496,4814,5967,2842,499,3067,199,418,2971,132,113,151,172,0
1,20000,223,1150,5148,5671,2320,411,3832,324,533,7037,133,83,53,208,83
1,20000,248,983,5854,5794,3380,559,3914,202,492,7888,0,178,0,64,0
1,20000,165,1342,7618,5190,3805,615,2697,168,487,2767,66,227,0,111,65
1,20000,327,1178,4028,5315,2185,210,2759,198,438,3084,58,123,0,284,0
1,20000,158,1051,9871,3727,5605,696,2105,226,506,2978,62,196,52,222,196
1,20000,294,999,5388,10388,2348,479,2524,285,345,3007,58,161,0,180,56
1,20000,0,1023,5083,5080,2626,413,2887,326,490,2548,47,97,99,0,53
1,20000,75,967,4842,5422,2988,504,2868,421,411,3097,50,187,58,57,52
1,20000,283,1193,4996,4333,2475,375,2416,372,377,3111,219,55,113,124,67
1,20000,184,1146,5498,5603,3031,511,3747,468,413,4077,71,60,70,0,0
1,20000,256,970,5687,4997,2485,592,2595,312,174,2185,62,0,63,176,0
1,20000,170,906,5449,8490,2899,574,2351,400,396,3199,131,169,36,100,93
1,20000,400,858,7508,5260,4135,520,3304,254,289,6775,207,106,105,0,0
1,20000,229,871,5007,5171,2473,304,5168,446,788,7316,94,91,55,79,98
1,20000,170,1054,4954,4855,2926,464,4452,344,534,8576,73,120,0,64,157
1,20000,243,1222,5926,5431,3637,483,4947,382,676,7561,0,106,76,137,68
1,20000,129,1338,4940,5478,2403,632,3290,242,468,6727,177,76,71,0,223
1,20000,321,947,5087,5160,2897,471,2873,263,359,2777,102,163,114,160,101
1,20000,322,1015,9398,5912,4856,877,2899,397,397,2749,60,99,37,60,78
1,20000,170,1070,6036,6020,2913,485,2725,306,546,7063,0,113,68,122,64
1,20000,317,1130,5256,5247,3138,684,2692,274,285,2858,167,107,56,257,0
1,20000,267,663,6520,5287,3479,519,4844,403,665,8004,0,222,0,263,66
1,20000,397,1298,5692,5081,3305,727,2810,255,450,3105,147,175,181,235,157
1,20000,175,1001,5194,5135,2601,593,2970,389,326,3140,172,182,89,170,34
1,20000,228,1377,6043,3933,3353,631,2601,248,522,2894,0,127,0,208,110
1,20000,326,783,4999,5854,2863,515,3030,101,320,3047,69,199,88,70,0
1,20000,238,742,9861,5460,5502,760,2866,253,515,2838,43,161,69,90,164
1,20000,612,1916,5069,5949,2896,460,3127,355,460,2883,51,56,122,121,0
1,20000,166,1081,5243,5295,3282,614,2015,208,362,3014,66,0,236,193,103
1,20000,393,700,5223,4710,3119,514,2891,269,418,2634,70,157,0,244,110
1,20000,274,1143,5291,5785,2569,368,3666,311,493,9814,76,185,0,73,0
1,20000,144,1171,5300,5369,3160,391,2461,164,270,2593,73,205,58,85,156
1,20000,285,931,5077,4789,2902,394,2450,274,383,2541,55,152,75,103,123
1,20000,161,1015,10477,5150,5705,783,2450,285,541,2915,58,106,156,79,145
1,20000,223,1021,7778,4928,4342,645,3558,262,452,7612,118,101,70,97,0
1,20000,49,1042,5376,5501,2666,367,5871,429,705,6593,0,0,0,135,191
1,20000,157,922,5142,5690,2604,330,7110,547,848,2298,55,69,61,159,158
1,20000,455,1102,5032,6012,2810,638,3070,232,462,3301,54,266,124,106,169
1,20000,257,738,5807,6299,2903,639,2673,376,638,2392,41,106,73,101,135
1,20000,424,1062,5879,5115,3141,432,3912,438,640,3878,138,263,0,200,70
1,20000,251,798,10314,4720,5713,817,2612,278,379,2591,0,129,115,158,119
1,20000,164,887,4201,5233,1820,349,2108,221,416,2752,143,164,144,275,123
1,20000,880,2604,5856,10293,3324,510,2816,235,432,2282,127,149,37,111,45
1,20000,885,2329,3796,4107,2161,579,3270,274,415,6337,73,143,45,147,90
1,20000,312,758,4517,5607,2532,351,3376,375,479,3380,0,0,115,69,0
1,20000,208,699,5546,4295,3144,477,4012,456,653,2785,58,52,0,58,167
1,20000,104,1268,5339,6121,3043,683,1753,172,714,3359,157,59,0,119,0
1,20000,455,1349,5767,5997,3356,463,2363,108,223,8465,177,113,0,215,0
1,20000,244,1148,4942,5278,2114,989,2239,239,340,3269,128,140,137,136,0
1,20000,421,990,5314,4762,2697,532,2394,294,298,2583,0,114,0,110,57
1,20000,202,1050,5338,4064,3186,643,3194,396,558,2760,0,54,0,106,117
1,20000,379,1138,5406,5425,3007,420,3788,319,738,4009,75,128,0,75,0
1,20000,255,978,8502,5172,4452,756,2841,221,297,3109,190,232,111,154,158
1,20000,207,750,5484,8603,2648,379,2726,262,772,2584,106,114,0,0,119
1,20000,123,1132,5947,5581,3378,462,2786,336,507,2408,186,162,114,121,151
1,20000,219,1380,4133,5155,1998,470,6482,401,829,4801,0,143,0,403,0
1,20000,366,688,9685,6015,4940,958,3143,298,286,2330,72,64,68,121,126
1,20000,281,703,5294,4995,2755,592,2380,306,325,3342,87,256,0,264,0
1,20000,300,874,5236,5946,2944,384,3540,167,243,2839,75,138,91,76,50
1,20000,269,825,4942,9502,2727,582,2234,218,333,3026,0,105,0,220,55
1,20000,147,1028,8225,5268,4332,659,6330,552,659,4206,128,161,115,160,149
1,20000,79,987,5654,5758,2840,421,3828,317,539,10205,107,146,0,115,122
1,20000,367,855,8554,7542,4409,561,3650,361,566,9748,47,56,53,109,51
1,20000,61,1058,5354,4822,2639,611,5267,405,733,7597,58,203,223,411,199
1,20000,266,926,7287,5110,3883,621,7397,583,795,2129,122,213,124,125,58
1,20000,369,1182,5128,6085,2713,645,5285,392,685,6910,0,118,0,107,0
1,20000,363,1113,5502,4480,3016,774,3021,315,526,1727,0,122,63,175,58
1,20000,261,1221,5388,4132,3008,521,2612,319,435,2871,113,141,102,291,0
1,20000,373,747,4597,5994,2590,539,3144,314,503,8113,81,91,82,144,75
1,20000,404,1150,5668,5395,3166,318,2875,240,302,3218,134,163,142,97,145
1,20000,210,977,5197,5994,2801,539,2835,249,467,5995,0,160,0,0,126
1,20000,309,1075,5056,4770,2858,552,2385,298,464,3023,128,181,89,217,121
1,20000,225,764,5438,4464,2697,682,5182,434,693,8124,46,186,88,178,145
1,20000,152,1322,4702,4493,2671,498,3030,189,410,3111,119,126,157,151,0
1,20000,219,1270,5069,3817,2429,388,3769,321,520,7025,145,74,45,209,69
1,20000,399,856,7721,5185,4235,509,3384,255,301,6725,203,122,118,0,0
1,20000,246,870,5021,5976,2430,300,5137,433,794,7313,94,93,69,93,93
1,20000,170,1077,4870,5433,2957,478,4308,353,527,8731,69,105,0,73,150
1,20000,219,848,4805,7078,2307,753,3282,325,527,2910,36,41,76,64,74
1,20000,128,1281,5729,5385,3215,469,2565,359,518,2579,177,169,109,140,146
1,20000,219,1377,4259,4471,1712,473,6286,403,834,4896,0,133,0,390,0
1,20000,368,903,9507,5465,4850,962,3096,285,290,2377,77,83,77,132,133
1,20000,272,958,5225,5624,3031,575,2554,307,305,3251,84,268,0,279,0
1,20000,307,882,5288,5176,2884,393,3271,180,247,2798,74,157,77,69,51
1,20000,261,827,4856,5082,2596,580,2300,234,329,3019,0,112,0,201,53
1,20000,158,1123,8391,5604,4238,663,6391,556,861,4190,122,175,117,163,159
1,20000,70,969,5611,5030,2913,423,3726,334,561,10156,107,157,0,107,99
1,20000,367,893,8683,5337,4455,545,3818,355,555,9713,49,55,32,96,52
1,20000,60,1170,5177,6415,2820,613,5124,398,737,7543,50,197,215,406,199
1,20000,260,930,7226,5281,3766,621,7248,575,756,2031,120,225,105,116,59
1,20000,343,1205,5442,8532,2809,476,2860,276,369,3250,0,71,0,98,211
1,20000,304,1047,4726,5330,2437,732,3130,331,533,3347,0,57,75,120,0
