Class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
1,20000,387,1691,9290,8914,5726,997,4535,442,767,2930,64,138,75,181,85
1,20000,334,1879,8549,8097,5673,654,5182,468,545,2766,78,206,114,185,99
1,20000,452,1757,8671,8304,6014,734,4695,441,576,2898,135,135,67,171,116
1,20000,428,2055,8468,8423,5658,685,4168,560,893,2364,199,155,44,155,89
1,20000,488,1841,8964,8624,5607,1214,4732,401,610,3537,126,331,227,307,148
1,20000,388,1778,8042,8671,5292,667,5009,507,632,3083,144,209,144,222,98
1,20000,452,1943,8169,8531,4927,746,4878,503,665,3207,116,199,116,182,58
1,20000,465,1650,8560,8482,5200,747,4738,510,687,3073,126,160,126,105,91
1,20000,522,1739,9606,8817,5704,901,5519,528,663,2509,152,169,84,253,84
1,20000,460,1592,8986,8709,5763,955,5282,424,582,2723,201,237,137,183,100
1,20000,522,1635,8660,8886,5581,974,4753,488,584,2972,115,115,115,211,115
1,20000,402,1847,8624,8862,5840,768,4962,504,672,3405,161,161,98,238,70
1,20000,440,1760,8796,8452,5437,952,4697,378,678,3627,86,180,110,227,70
1,20000,403,1839,8756,8933,5517,885,4947,446,613,3354,98,140,126,182,84
1,20000,329,1528,8871,8377,5701,836,5430,502,668,3325,117,268,142,126,101
1,20000,451,1613,9037,8355,5565,904,5138,414,671,2913,112,126,84,84,42
1,20000,308,1788,9907,8284,4978,750,5210,429,618,3232,133,139,95,171,69
1,20000,368,1831,10499,9130,5110,519,5351,406,484,2824,110,142,95,95,142
1,20000,486,1804,9074,8393,5667,852,4878,520,582,2869,88,170,75,220,69
1,20000,536,1886,8587,8619,5109,978,4775,490,681,3625,94,308,80,214,40
1,20000,407,1657,8488,8307,5155,775,4697,496,772,3184,100,227,78,178,78
1,20000,394,1615,8556,8232,5450,954,5211,461,585,3201,161,193,80,241,80
1,20000,620,1876,8290,8781,5056,1041,3897,542,796,2449,92,137,191,153,61
1,20000,411,1711,8862,8745,5285,1057,4720,497,720,2857,160,145,107,152,69
1,20000,545,2014,7599,8670,5050,718,3933,573,877,2375,132,149,83,182,116
1,20000,349,1664,8873,7972,5939,848,4545,423,549,3762,128,330,223,317,159
1,20000,472,1525,8423,9819,5918,950,4770,431,602,3202,58,267,93,186,105
1,20000,326,2627,8355,8429,5373,643,4954,442,650,2776,202,188,87,72,58
1,20000,497,1832,7743,7697,5300,663,5016,569,670,3106,91,232,113,302,106
