Class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
1,20000,97,2561,10963,10720,8246,1878,472,92,149,2856,376,60,65,84,48
1,20000,115,2123,9673,9634,7443,1833,525,93,111,3209,388,85,55,117,72
1,20000,71,2492,11398,11238,8154,1843,497,66,117,3223,400,47,45,75,65
1,20000,101,2511,11337,11229,8798,2138,512,67,147,3542,375,38,56,81,68
1,20000,72,2281,8832,8834,7015,1610,586,110,149,3522,233,69,42,85,49
1,20000,82,2272,11689,11656,8620,2019,482,73,141,3354,247,68,30,65,32
1,20000,71,2067,11439,11634,8679,1950,645,94,104,4213,290,80,20,69,45
1,20000,75,2272,12180,12258,9220,1801,552,71,139,3555,315,75,37,57,45
1,20000,70,2021,10651,10555,8351,1727,537,82,130,3613,230,71,34,91,84
1,20000,82,2467,11341,11538,9036,1345,459,86,158,3541,379,76,36,91,55
1,20000,62,1953,7837,8021,6046,1836,403,82,143,3782,448,57,27,96,54
1,20000,74,2251,11007,11051,8245,1719,564,71,122,3841,443,75,59,96,47
1,20000,101,2233,8326,8408,6581,1612,484,91,136,2455,391,68,43,85,72
1,20000,70,2273,8491,8458,6684,1647,532,74,123,2175,381,68,26,87,65
1,20000,54,1921,9626,9615,7356,1560,537,75,113,4051,442,62,52,100,79
1,20000,76,2171,9657,9691,7179,2109,589,72,123,3909,374,61,57,85,67
1,20000,82,2022,10590,10563,7928,1735,485,79,150,3895,275,92,51,78,52
1,20000,80,2142,9375,9491,7181,1660,517,63,114,2996,293,80,40,80,47
1,20000,55,2500,10764,11015,8028,1794,421,68,126,2939,340,84,31,72,44
1,20000,67,2189,8441,8626,6806,1483,490,50,115,2870,358,56,27,79,37
1,20000,55,2593,11336,11493,8697,1780,554,56,130,3093,272,60,57,76,39
1,20000,88,2158,12221,12204,9287,1841,508,59,107,2743,413,79,37,94,48
1,20000,59,2725,11011,10932,8753,1466,646,90,107,3374,284,72,47,87,58
1,20000,62,2001,11882,11902,9224,1648,481,93,133,3094,303,47,31,102,71
1,20000,87,2820,11160,10934,8172,1722,475,85,123,3571,227,63,44,79,47
1,20000,72,2445,12068,12156,9622,1419,567,65,92,3516,457,48,46,69,51
1,20000,82,2053,11601,11759,8885,1823,525,91,108,3441,345,88,49,62,61
1,20000,92,2076,10599,10562,7839,1536,476,79,126,3568,265,86,44,78,40
1,20000,74,2180,9789,9807,7789,1742,576,70,106,3221,273,72,65,88,40
1,20000,101,2286,10876,10764,8389,1958,529,67,120,2810,352,66,53,86,46
1,20000,94,2330,9918,10139,7456,1831,368,83,112,2814,332,75,60,60,52
1,20000,93,2554,11472,11452,8781,2177,432,58,134,3298,245,40,41,66,54
1,20000,64,2460,12765,12728,9832,1927,522,56,93,2915,291,73,42,82,59
1,20000,97,2450,9112,9045,6628,1727,575,90,139,4078,346,58,23,76,61
1,20000,77,2433,11989,11960,9613,1968,445,94,185,3486,351,66,41,86,55
1,20000,76,2497,9404,9219,7539,2116,478,108,144,3326,315,72,41,77,65
1,20000,82,2246,8378,8609,6509,1810,472,79,102,3518,242,62,35,84,53
1,20000,77,2191,9052,9192,7377,1793,501,61,113,3689,307,46,34,64,48
1,20000,92,2500,10565,10617,8159,1711,490,64,127,3848,292,58,54,76,41
1,20000,90,2110,7910,7859,6778,1752,700,72,115,3272,332,70,42,83,47
1,20000,97,2290,9414,9385,7558,1608,575,69,138,2864,270,55,38,72,45
1,20000,78,2029,10623,10669,7923,1725,515,76,130,2323,217,49,42,88,75
1,20000,68,2439,9273,9262,7253,1553,498,81,128,2867,306,47,45,80,50
1,20000,84,2025,8426,8588,6147,1737,525,62,136,2789,260,67,46,57,51
1,20000,62,1984,9871,9793,7681,1635,639,60,102,2848,361,62,27,84,48
1,20000,79,2086,12489,12411,9539,2032,497,0,181,2517,301,81,46,80,57
1,20000,84,2518,11183,11165,8544,1519,628,52,100,3040,311,67,37,85,60
1,20000,71,2231,9761,9814,7227,1485,581,44,93,2477,377,56,52,86,34
1,20000,76,2437,8246,8089,6098,1754,658,76,111,2829,390,54,48,101,35
1,20000,103,2260,11436,11383,9028,2028,523,68,119,2699,375,54,59,77,34
1,20000,490,2479,9971,9884,7917,1330,3208,463,935,3105,365,561,198,493,267
1,20000,535,2295,10053,10023,7779,1226,3398,421,794,3251,355,535,203,446,241
1,20000,561,2145,9969,9992,7758,1391,3366,470,864,3319,383,514,243,452,233
1,20000,568,2289,9834,9876,7776,1225,2851,407,767,3106,379,535,254,397,225
1,20000,565,2293,10153,10119,7752,1194,3064,383,874,2926,334,506,230,416,204
1,20000,520,2447,10059,9938,7805,1313,3003,473,895,2974,348,536,222,413,203
1,20000,544,2151,9879,9980,7531,1367,3348,410,784,2900,372,482,215,415,239
