Class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
1,20000,10297,4995,9923,16090,16256,12235,8818,6807,2588,11733,5613,3306,1119,4914,10350
1,20000,14106,5249,10189,16206,16311,12254,7863,6377,2776,11403,5865,3351,1954,6964,10217
1,20000,14856,4846,9566,15816,16234,12074,7949,7060,2964,11687,5674,3182,1894,7161,10258
1,20000,14416,5350,9791,15953,15819,12523,8654,6715,2986,11785,5708,3643,1837,7586,10829
1,20000,14456,4538,10213,16107,16643,12213,8148,7104,2854,8241,5687,3650,1646,7015,10811
1,20000,13955,4689,9832,16376,16439,12103,7675,6499,2421,7720,5583,3475,1577,6989,10642
1,20000,14932,4294,9679,15842,16151,12404,8896,6997,2641,7823,5696,3343,1369,7087,10533
1,20000,14843,4743,9605,16103,16194,12221,8124,6634,2872,8487,5948,3387,1839,7463,10784
1,20000,15354,4852,9633,15900,16039,12144,7595,6515,2474,7710,5757,3417,1773,7472,10506
1,20000,15103,5007,9974,15762,16258,12091,7689,6615,2635,8297,5795,3408,1807,7813,10586
1,20000,15183,4686,10054,15969,15887,12652,7804,7182,3047,7279,5796,3557,1960,7298,10361
1,20000,11156,4603,9686,15908,16109,12650,7875,7367,2571,11863,5792,3481,1508,5444,10306
1,20000,14782,4602,9860,16335,16136,12511,8384,6869,2659,7736,5657,3616,1539,7577,10178
1,20000,15334,5326,9845,16201,16624,12641,7233,6887,2627,8318,5729,3629,1632,7533,10842
1,20000,15235,4481,9699,16065,15921,12093,7999,7074,2843,8996,6010,3564,1774,7543,10756
1,20000,15547,5096,9976,16497,16370,12661,7606,6964,2901,10823,5698,3950,1725,7961,10389
1,20000,15091,4670,9899,16653,16225,12703,7214,6876,2843,10240,5514,3638,1449,7353,10290
1,20000,15324,4783,10123,16788,16451,12704,7656,6927,2773,11045,5671,3611,1784,7582,10360
1,20000,14903,4621,9853,16183,16277,12299,7725,6495,3056,10954,5549,3530,1455,8226,10828
1,20000,15441,4438,10066,16382,16080,12299,7546,6890,2737,10798,5555,3730,1859,7655,10255
1,20000,15370,5004,9917,16553,16278,12602,8140,6977,2856,11614,5827,3396,1873,7847,10111
1,20000,14825,5083,9869,16588,16602,12552,7332,7110,2505,11655,5637,3798,1999,7386,10397
1,20000,10516,5233,9792,16347,16322,12204,8788,6811,2656,11810,5681,3262,1211,5032,10277
1,20000,15131,4645,10083,16501,16750,12604,7998,7248,2827,11782,5726,3683,2014,7699,10744
1,20000,15129,4728,9941,16666,16494,12504,7451,6761,2578,11393,5920,3350,1766,7392,10606
1,20000,15234,4478,9857,16231,16369,12319,8039,6750,2410,11489,5864,3836,1959,7534,10255
1,20000,15070,4706,10249,16226,16390,12749,8062,7066,2869,11745,5890,3861,2007,7600,10328
1,20000,14873,4500,9800,16356,16241,12401,8622,7058,2420,11619,5657,3662,1962,7793,10998
1,20000,15308,4838,10193,16277,16566,12453,7068,6882,2660,11545,5457,3806,1782,7743,10361
1,20000,15212,4795,9984,16558,16297,12265,7439,6804,2451,11628,5527,3499,1548,7646,10266
1,20000,15193,4703,9901,16280,16410,12664,7437,6634,2579,11711,5912,3517,1949,7776,10397
1,20000,15315,4613,10105,16349,16422,12689,7447,6961,2604,11900,5968,3735,1921,7593,10286
1,20000,14968,4237,9946,16682,16382,12567,7430,7016,2865,11612,5690,3939,1965,7718,10302
1,20000,10921,4348,10244,16528,16508,12812,8482,6492,2392,11458,5872,3394,1620,5613,10462
1,20000,15414,4891,10211,16772,16799,13089,7395,7031,2742,11471,5648,3549,1599,7639,10546
1,20000,15259,5112,10024,16437,16506,12733,7166,6711,3048,11343,5473,3748,1847,7560,10245
1,20000,15320,4922,10129,16578,16385,12167,7445,7123,2844,11652,5647,3428,1810,7743,10655
1,20000,15329,5213,10437,16722,16614,12812,7667,6609,2718,11941,6052,3622,1568,7548,10312
1,20000,15306,5508,10105,16496,16311,12691,7695,6663,2449,11529,5842,3425,1865,7682,10562
1,20000,15489,5184,9891,16793,16580,12358,7623,6704,2977,9189,5937,3410,1534,8078,10427
1,20000,15309,5205,10122,16846,16318,12524,7392,7062,2584,8721,6048,3670,1937,7681,10054
1,20000,15116,5364,9939,16233,16498,12571,7502,7057,2443,8937,5897,3246,1460,7806,10029
1,20000,15445,5090,10006,16296,16626,12652,7901,7246,2937,8896,5877,3793,1791,7881,10412
1,20000,15233,4655,10359,16349,16299,12776,7669,6845,2359,8809,5466,3927,1659,7763,10275
1,20000,11052,5067,9844,16415,16006,12759,7983,6536,2852,11804,5768,3184,1366,5191,10365
1,20000,15036,5147,10148,16224,16202,12318,7678,6889,2785,8580,5821,3766,1840,7580,9764
1,20000,13952,4789,9973,16285,15978,12405,8048,7074,2784,11597,5896,3335,1427,7126,10680
1,20000,14756,4628,9945,16247,16293,12732,8789,6715,2762,11860,5643,3764,1733,7349,10791
1,20000,14591,5022,9937,16202,16087,12132,8096,6954,2667,11438,5571,3723,1369,7403,9980
1,20000,14766,4658,9941,16248,16235,12500,8418,7025,2959,11731,6199,3373,1819,7471,10752
1,20000,13203,3935,9967,15097,15353,12087,5516,3979,1464,11402,5964,1908,1245,7485,6879
1,20000,12428,4650,10617,15767,15864,12076,4678,4622,2161,10069,5764,1675,1581,6622,6260
1,20000,13485,4910,10352,16283,16090,12252,4801,4447,2272,11040,5255,1875,1624,7378,5747
1,20000,12818,4450,10125,15539,15143,12158,5407,4348,2373,10317,5543,1933,1358,7053,6139
1,20000,11839,5072,10202,15301,15224,11781,5072,4959,2429,10135,5074,1554,996,6398,5713
1,20000,12383,4129,9972,14695,14813,11450,4866,4557,2093,9947,5645,2290,1179,6505,6086
1,20000,11762,5169,10365,15941,15454,12005,5029,4349,1805,10081,5627,1814,1092,6378,6543
1,20000,12249,4579,9753,14769,14592,11273,4756,4301,1838,10853,5971,2045,1190,6889,6303
1,20000,12659,4317,9373,14533,14937,11328,5482,3914,1999,11543,5587,1672,1124,6771,6290
1,20000,13014,4919,9656,14798,14888,11811,5241,4987,2277,10342,5734,1593,1249,7415,6236
1,20000,11806,4558,9723,15272,14861,11776,5107,3963,1894,10366,5625,1623,1246,6073,5857
1,20000,12278,4370,10817,16669,16461,12943,5102,5105,2149,10673,5846,1527,914,6707,7324
1,20000,11891,4356,9770,14890,14393,11642,5296,4767,2100,10672,5972,1505,1081,6775,6725
1,20000,12381,4118,9956,14721,14870,11562,5620,4476,1715,10706,5363,2311,1518,6970,6098
1,20000,12585,4447,9912,14838,14931,11507,5180,4201,1768,10688,6662,1981,1380,7058,6083
1,20000,12112,5065,9779,14502,14585,11390,4973,4275,1846,10235,6487,1653,1483,6691,7619
1,20000,12723,4764,9186,14326,14197,11126,5603,4454,2326,10388,5940,1855,1351,6789,8228
1,20000,12812,4008,9542,14221,14201,11145,5456,4188,2024,10577,5388,1561,1298,7111,7504
1,20000,12269,4885,9123,13230,13117,10298,5036,3974,1790,10417,5706,1387,945,6424,8033
1,20000,12877,4522,9345,14293,13909,10818,5330,4373,1872,10832,6272,2213,1186,6943,7560
1,20000,13309,4804,9981,15222,15679,11954,5859,4821,2142,10126,5510,1577,1201,7064,7796
1,20000,12229,4743,10414,15502,15426,12098,5482,4708,2225,11360,5417,1816,1460,6929,8016
1,20000,13504,4609,10959,16709,16287,12694,5530,5296,2047,10207,6002,1584,1276,7702,7521
1,20000,12713,4840,9954,14962,14954,11909,5707,4046,1958,10826,5539,2058,1150,6629,7127
1,20000,11802,4758,9728,15324,15428,11983,4672,4365,1765,11024,5390,1772,1412,6131,6008
1,20000,11977,4851,10022,15294,15332,11784,4979,4827,2127,10930,5687,1636,967,6565,6155
1,20000,11644,4521,9759,15388,15090,11620,5310,4650,1942,11016,5584,1452,1375,6505,6263
1,20000,12580,4929,9839,14731,15150,11988,5122,4434,2134,10495,5814,1733,1090,6795,6317
1,20000,11338,4347,9790,15099,15142,11724,4747,4031,1984,10508,6093,1625,869,6549,6209
1,20000,11668,4719,10200,15979,16067,12471,5155,3913,1730,10005,5943,1709,1375,6282,6001
1,20000,12946,5011,10019,14945,14605,11695,5304,4519,1999,11699,5968,1793,1130,6878,7453
1,20000,12226,3878,10452,15758,15477,12042,5247,4216,1787,11142,5230,2076,1268,6513,6203
1,20000,12553,4663,9737,15251,14920,11799,4802,4451,2035,10756,5168,2611,1535,6751,5439
1,20000,12172,3683,9609,14988,14778,12033,5190,5176,2428,10992,5443,1777,1566,6504,6710
1,20000,12221,4890,9926,14815,14708,11453,4799,4414,2131,10648,5281,2486,1250,6468,6268
1,20000,12469,4209,10016,15786,15349,12024,4997,4814,2147,10449,5406,1897,1059,6736,6260
1,20000,11760,5007,9982,14810,14873,11812,4791,4557,2057,10337,5554,1938,1144,6253,6471
1,20000,12839,4402,9926,14699,14649,11520,5340,4287,1921,11014,5450,2427,1221,7109,5308
1,20000,12761,4759,10467,16233,16374,12859,4596,4790,2224,10223,5454,2183,1397,6807,6164
1,20000,12398,4874,9373,14512,14795,11360,4646,4153,1974,10504,5533,2080,1176,6422,6147
1,20000,12563,4725,10410,15613,15540,11774,4622,4991,2180,10813,5180,1393,1111,7303,7195
1,20000,12177,5116,9639,14626,14513,11319,5230,4622,2059,10728,5230,1862,1033,6925,6257
1,20000,14111,4680,9693,14885,15173,11801,4789,4330,1666,10321,5061,1409,1456,7880,7266
1,20000,12905,5100,10883,16238,16694,13150,6076,4632,2186,10261,4840,1719,1418,7046,6651
1,20000,12762,4693,9832,14326,14543,11129,6050,5299,1938,10691,5990,1737,1059,6851,7413
1,20000,11659,5239,9371,13990,14108,10860,4476,4322,1920,11653,4858,1805,1221,6560,6205
1,20000,11882,4260,10463,16397,16234,12897,4337,5025,2264,10544,5693,1959,1222,6158,6522
1,20000,12623,4069,10780,16313,16168,12443,5273,4407,2112,10388,5546,1687,1423,6833,6609
1,20000,12177,4834,10200,14966,15163,12058,5479,4985,2393,11100,5655,1621,1458,6968,6459
1,20000,12249,4657,10380,15723,16010,12624,5065,4514,1878,10301,6012,1356,1310,6531,5441
