Class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
1,20000,686,877,8810,7368,6953,1016,4143,672,778,2990,244,378,145,196,183
1,20000,526,1327,8922,8673,6865,891,3745,574,863,2924,277,309,212,245,87
1,20000,517,1372,9059,8411,6879,937,3379,489,692,2743,205,304,202,208,159
1,20000,576,1032,8961,7582,6351,969,3683,665,764,3051,164,289,145,195,130
1,20000,550,1034,7057,8372,5280,788,3624,622,803,2776,177,245,99,284,139
1,20000,523,1858,9399,8194,7173,785,3725,688,797,3203,206,293,140,242,174
1,20000,554,1612,7740,9007,4202,633,3979,544,878,3465,135,228,111,260,117
1,20000,508,1527,8253,7488,6651,958,3666,550,823,2874,170,250,135,243,166
1,20000,559,2049,8172,8541,5922,764,3955,677,830,2526,198,290,130,294,144
1,20000,560,1560,9140,7753,6857,917,3542,746,828,2607,170,244,131,248,156
1,20000,546,1466,7930,7389,5920,993,3901,612,817,2346,199,257,154,321,165
1,20000,452,1183,8291,9138,6286,912,4006,675,896,2882,123,386,116,233,108
1,20000,495,1271,8823,9384,6181,797,3690,628,793,2649,177,243,150,263,155
1,20000,472,1735,9612,8652,6622,796,3515,479,837,2486,185,262,156,283,125
1,20000,468,1249,8325,7696,6077,960,3827,560,775,2895,222,260,126,263,157
1,20000,583,1495,8927,8335,6866,829,3945,572,673,3075,205,248,121,249,153
1,20000,655,1435,9117,9084,7161,995,4544,654,769,3022,251,377,127,189,175
1,20000,534,1480,9157,9276,6930,883,4358,562,862,3023,238,302,181,226,64
1,20000,509,1692,8973,7704,6982,896,3731,474,690,3179,181,314,182,184,159
1,20000,554,1320,8953,8114,6811,961,3771,676,759,3220,147,284,115,177,110
1,20000,539,1494,7326,8827,5517,776,3711,610,774,2763,158,231,96,271,156
1,20000,504,1511,8853,9138,6666,918,4366,706,833,2794,148,161,65,227,66
1,20000,474,1327,9226,8276,6937,976,4366,811,617,2906,104,187,106,240,145
1,20000,391,1455,8168,7453,6325,857,4297,682,846,2693,139,397,167,333,143
1,20000,629,1524,8443,9209,6493,754,3806,608,666,3195,238,300,80,288,108
1,20000,477,1453,8581,8257,6385,729,4417,658,755,2843,249,262,163,318,205
1,20000,461,1483,8694,8683,6710,835,3865,520,694,2993,205,219,120,190,197
1,20000,418,2032,7145,8874,5154,917,3744,682,845,2825,203,261,134,286,137
1,20000,422,1393,8982,9233,6778,942,4232,632,867,2498,169,320,143,287,205
1,20000,538,1294,9055,8132,6943,843,4088,639,675,2785,217,350,66,266,184
1,20000,658,1887,9123,9075,6446,871,4198,579,809,2772,224,318,130,316,117
1,20000,455,1785,7977,8765,5134,803,3837,650,786,2998,122,199,84,324,185
1,20000,611,1539,6851,6753,5068,1000,3834,682,693,2824,168,193,128,268,198
1,20000,564,1210,8166,7200,6074,940,4475,659,771,2964,133,173,118,302,171
1,20000,575,1636,9270,8419,6862,967,3739,575,797,2998,235,196,123,170,106
1,20000,438,1512,7627,9322,5593,999,4019,645,750,2853,216,237,181,329,138
1,20000,410,1445,7272,8043,5384,945,3752,647,810,2991,227,262,147,219,74
1,20000,488,1603,8278,9469,6519,993,4294,669,686,2985,229,217,159,313,51
1,20000,589,1354,9461,9426,6999,823,4040,652,691,2574,185,295,95,239,109
1,20000,451,1032,9025,7759,6877,672,4361,603,737,2807,91,246,134,302,120
1,20000,658,1458,9012,8608,6753,962,4531,630,810,2703,207,345,130,268,98
1,20000,540,1543,9433,8679,7082,870,4754,544,846,2298,182,235,108,270,99
1,20000,571,1527,8880,9566,6387,873,4750,629,760,2605,170,241,120,256,149
1,20000,484,1790,8152,8920,6354,913,4446,630,671,2925,158,216,75,166,131
1,20000,487,1530,8431,8073,6224,921,3981,573,810,3042,231,257,95,264,178
1,20000,674,1574,8650,8558,6151,869,3741,602,806,2785,222,362,150,319,114
1,20000,456,1314,8087,8948,5025,815,3697,663,797,2650,151,213,101,352,172
1,20000,596,1478,6729,8831,4906,802,3730,684,702,2765,180,221,165,260,220
1,20000,597,851,7879,8988,5614,970,4294,655,774,2431,150,184,111,313,179
1,20000,612,1295,8890,9132,6460,748,3925,586,671,2827,222,254,131,247,160
1,20000,512,1263,8558,8092,6594,935,3682,491,819,2594,170,229,154,223,120
1,20000,576,1424,8166,9289,5915,935,3646,654,804,3272,188,278,154,298,126
1,20000,456,912,8267,8017,6025,969,4701,402,565,2185,157,272,113,285,223
1,20000,657,1247,7318,9207,5263,789,3484,706,703,2472,169,249,130,264,131
1,20000,522,1120,9325,9464,6886,794,3689,661,784,2894,198,217,134,277,141
1,20000,472,1547,8065,8900,5947,1003,3989,627,732,2789,202,232,157,246,158
1,20000,527,1370,8968,8266,6650,934,3911,699,726,2615,150,251,159,280,142
1,20000,440,1152,8841,8405,6783,841,4073,590,793,2734,181,258,161,306,118
1,20000,498,1818,8411,9392,6029,1005,3442,619,874,2548,203,237,161,281,130
1,20000,554,1263,9249,8445,7357,902,3944,582,771,3088,225,259,145,234,168
1,20000,629,1240,9119,9068,6479,880,4024,627,695,2768,186,245,132,256,170
1,20000,448,1029,8958,8277,6731,877,4224,674,704,2447,190,234,126,254,153
1,20000,575,1161,7833,8714,5518,946,4206,573,917,2541,169,238,143,265,138
1,20000,560,1141,7557,6729,5205,861,4322,668,726,2440,177,257,117,242,148
1,20000,448,1471,8940,9026,6887,842,4145,670,780,2789,167,263,95,279,133
1,20000,547,1397,7573,8269,5703,726,4072,566,658,2706,177,247,154,286,150
1,20000,558,942,8571,8304,6461,966,3964,619,746,2756,180,293,113,260,182
1,20000,507,1358,8501,8614,6456,778,3542,649,827,2388,181,236,160,258,163
1,20000,637,1593,7955,8788,6287,985,4114,644,800,2596,186,219,128,268,144
1,20000,488,2267,9183,9019,7055,1004,4064,623,667,2705,254,347,141,210,97
1,20000,467,1481,8049,8364,5779,969,3996,654,784,2605,353,305,223,224,154
1,20000,489,1488,8487,8734,6047,801,4089,567,617,2754,180,234,131,260,159
1,20000,526,1382,8799,8578,6501,787,3694,543,821,2475,219,310,154,257,188
1,20000,453,1352,8425,8112,6358,889,3214,619,755,2869,275,348,145,196,111
1,20000,493,1640,7622,9167,5655,973,3621,783,810,2601,218,261,55,155,102
1,20000,481,1591,8539,8404,6595,936,4629,471,585,2661,122,226,162,236,175
1,20000,415,1544,8466,7408,6327,942,3697,769,712,2868,192,205,140,189,185
1,20000,542,1527,8494,9772,6344,985,4511,615,821,2900,184,272,92,217,103
1,20000,598,1496,8931,9433,6898,891,3841,502,723,3166,167,329,65,269,120
1,20000,422,1728,9213,9051,6342,939,4861,592,747,2618,257,307,79,254,153
1,20000,621,1457,9179,9393,6517,665,4101,544,665,2863,178,234,62,154,156
1,20000,393,1744,8733,7935,6420,922,4253,586,708,2933,182,220,222,202,155
