Class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
1,20000,663,2371,10282,10282,7808,1273,3035,855,1029,4476,505,524,286,611,279
1,20000,629,2755,11160,11160,8190,1189,3569,828,1003,4864,322,465,221,629,270
1,20000,607,2789,9569,9569,7108,1480,3406,898,914,4902,331,700,288,619,364
1,20000,652,2808,10213,10213,7912,1017,3583,751,805,4812,381,452,233,487,313
1,20000,730,2343,9524,9524,7440,1333,3465,854,895,4643,397,496,310,599,367
1,20000,604,2412,10012,10012,7317,1139,3369,845,989,4827,423,479,302,555,341
1,20000,618,2417,11062,11062,8384,1504,3317,798,770,4974,479,650,325,740,331
1,20000,763,2805,9972,9972,7490,1205,3250,723,1001,4711,422,459,286,614,364
1,20000,605,2463,9117,9117,7010,1147,3433,875,993,4579,314,524,387,673,267
1,20000,669,2636,9149,9149,6997,1160,3768,825,798,4789,466,484,229,685,422
1,20000,650,2626,10794,10794,8095,1261,3569,788,981,4831,293,469,292,561,294
1,20000,583,2605,9886,9886,7569,1339,3071,902,1006,4631,339,589,227,473,268
1,20000,689,2946,9681,9681,7449,1349,3746,738,1000,4937,338,486,279,458,192
1,20000,640,2740,10674,10674,8295,1188,3536,947,1351,5000,468,496,242,710,402
1,20000,669,2576,9985,9985,7813,1235,4110,738,877,4728,281,413,327,633,331
1,20000,701,2620,11329,11329,8790,1025,3126,926,1185,4802,418,531,287,628,337
1,20000,723,2724,11006,11006,8351,1234,3048,984,1030,4825,419,477,385,680,257
