Class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
1,20000,258,924,6056,6307,3564,659,2111,283,381,3629,79,153,62,19,22
1,20000,235,938,6408,6397,3756,572,2167,240,312,3346,106,73,39,145,44
1,20000,275,870,6247,6197,3596,546,1809,314,384,3632,110,113,126,92,42
1,20000,260,928,6482,6476,3383,578,2053,271,449,3567,46,147,18,139,74
1,20000,278,873,6294,6268,3698,541,1767,330,459,3461,97,145,47,96,76
1,20000,260,938,6353,6567,3638,510,2027,333,309,3735,27,78,19,106,90
1,20000,334,888,6773,6692,3709,531,2050,241,304,3436,70,71,6,101,64
1,20000,3905,476,6420,6328,3496,572,2118,349,540,3113,74,1161,12,58,12
1,20000,236,898,6423,6244,3467,529,2170,289,431,3843,74,122,36,118,16
1,20000,249,946,6343,6438,3366,460,1974,285,473,3484,72,133,26,115,12
1,20000,247,846,6509,6506,3459,485,2066,275,325,3167,80,127,30,106,42
1,20000,3751,465,6445,6526,3461,530,1713,278,322,3546,63,253,0,112,27
1,20000,261,919,6402,6303,3642,565,2095,330,404,3639,135,176,47,127,23
1,20000,356,1052,6777,6682,3810,491,2095,308,405,3433,68,103,131,165,9
1,20000,272,865,6413,6253,3722,476,2099,295,394,3487,80,140,23,159,2
1,20000,4032,464,6634,6444,3815,506,2074,290,346,3507,66,183,62,81,33
1,20000,266,983,6448,6518,3569,553,2172,339,440,3455,94,178,79,142,95
1,20000,287,937,6411,6613,3614,478,1926,308,431,3740,143,122,92,64,59
1,20000,300,788,6547,6393,3853,585,2006,272,429,3498,92,139,22,102,53
1,20000,217,883,6233,6447,3724,553,1899,279,456,3589,111,220,58,77,13
1,20000,5519,267,6133,6009,3639,507,2173,279,380,3443,96,199,20,90,29
1,20000,251,901,6383,6525,3822,507,1922,320,369,3407,85,188,137,76,51
1,20000,246,943,6216,6308,3616,511,2061,339,385,3289,104,195,52,79,56
1,20000,152,887,6443,6729,3786,520,1687,269,224,3592,77,116,26,62,45
1,20000,230,941,6580,6367,3580,541,1967,382,406,3477,68,107,76,147,41
1,20000,240,871,6351,6500,3818,546,1961,393,441,3453,99,173,43,162,26
1,20000,350,885,6485,6418,3585,505,1987,296,463,3389,79,122,61,173,92
1,20000,223,808,6733,6754,3640,485,1978,268,397,3571,90,167,91,126,99
1,20000,259,840,6530,6516,3588,531,2073,324,505,3378,66,959,24,77,35
1,20000,249,703,6427,6325,3650,502,2143,322,360,3043,43,155,43,101,66
1,20000,193,873,4566,4676,2677,274,1808,293,425,3127,79,131,66,123,83
1,20000,200,917,6347,6308,3585,568,2075,263,358,3230,105,186,36,127,61
1,20000,3277,537,6504,6488,3725,542,2151,305,361,3476,71,166,53,83,56
1,20000,233,923,6343,6348,3624,488,2169,305,390,3507,71,122,43,126,54
1,20000,290,852,6729,6713,3787,579,2059,358,421,3376,28,151,42,46,68
1,20000,259,905,6604,6372,3500,435,1999,302,429,3244,132,173,45,92,60
1,20000,278,885,6861,6716,3425,563,1871,293,362,3624,182,155,37,100,8
1,20000,3670,475,6534,6446,3688,489,2220,338,434,3395,124,193,102,64,36
1,20000,243,938,6353,6372,3378,529,1994,287,390,3697,79,150,39,77,75
1,20000,265,880,6310,6268,3543,557,2012,328,416,3421,66,902,36,80,43
1,20000,239,905,6458,6387,3637,531,2251,273,411,3699,74,187,68,99,48
1,20000,248,931,6584,6594,3757,565,1730,319,362,3200,36,134,57,112,35
1,20000,174,841,6648,6682,3844,596,2208,344,367,3473,103,128,71,141,40
1,20000,233,941,6562,6364,3791,508,2134,289,379,3615,100,105,116,115,19
1,20000,270,915,6346,6393,3431,481,1878,300,439,3413,73,114,0,98,28
1,20000,98,779,6612,6475,3849,495,2126,351,385,3643,58,109,46,150,62
1,20000,319,911,6799,6817,3719,587,2024,241,377,3722,97,125,49,91,52
