Class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
0,20000,11362,1665,4578,6709,6636,9328,4962,3576,682,4760,1146,933,1128,4306,5355
0,20000,11766,1434,4554,6277,6166,9166,4772,3370,615,5100,965,1097,1131,5169,5476
0,20000,10345,1246,4423,8523,8196,11248,4492,3911,723,5033,1528,320,1143,4311,5811
0,20000,10591,1292,3487,6114,5926,8760,906,3111,862,3022,1271,883,996,4456,5274
0,20000,11091,1042,4125,5493,5574,8353,1618,2245,599,3153,1402,799,811,4258,5283
0,20000,10884,1115,3690,5884,5597,8542,4137,3184,790,3087,694,853,944,4535,4330
0,20000,10486,844,3878,6087,6004,8800,4746,3425,634,3304,1138,811,802,4207,5169
0,20000,10433,1120,4035,6205,6110,8871,4023,3649,834,1575,1006,635,716,3838,1974
0,20000,11330,1646,4499,6586,6444,9286,5392,3848,654,3810,1481,1369,797,4871,5553
0,20000,11039,2065,4584,6581,6550,10000,4590,3976,846,2353,1984,625,941,4503,2547
0,20000,11573,1725,5006,6926,6850,9940,4581,1831,465,2947,1800,662,989,4933,5892
0,20000,11487,1830,2417,5195,5241,6364,4399,3651,595,4200,2166,745,825,4391,6007
0,20000,11324,927,4021,6995,7226,9564,4381,3968,750,3363,1810,1379,935,5031,5859
0,20000,11551,520,3409,5685,5750,8425,4994,4015,709,3448,1847,1193,1243,4918,5346
0,20000,11375,1778,4659,6984,6811,9951,4476,4223,695,4337,2225,1268,1080,4614,5394
0,20000,11427,1457,3904,5968,5586,8050,5085,4207,687,4958,1794,224,1017,4445,5442
0,20000,4413,1260,3461,5912,5335,8118,2277,1808,354,4293,961,1577,422,1909,5656
0,20000,9484,352,3987,6073,6473,8765,4788,3417,567,5060,1622,929,1066,3930,5639
0,20000,11648,1606,2071,4879,5091,6642,1811,4207,843,4131,1610,546,1501,4476,1890
0,20000,11380,1631,4289,6536,6649,9374,4610,1852,479,4664,1636,1362,915,4756,5629
0,20000,11435,1199,4753,6363,6443,9299,5092,3703,593,4638,1019,930,963,5089,4346
0,20000,11392,2155,4332,6265,6271,9397,4508,3637,602,4143,1820,1241,892,4763,5427
0,20000,10829,1407,3863,5546,5360,7724,4571,3755,784,4198,1380,1017,992,4562,5409
0,20000,10777,1727,4237,6199,6249,8587,5020,3930,587,4504,1484,828,969,4304,5740
0,20000,4098,1435,3792,5469,5420,7829,2342,1563,329,4370,975,789,429,1550,5344
0,20000,5018,1535,3545,6406,6489,9026,4718,1814,185,4329,1873,817,792,752,1895
0,20000,11336,1342,4459,7096,7158,9417,4885,3807,770,2982,1831,817,901,4937,5825
0,20000,11367,1685,4601,6881,7007,9296,5179,3667,675,4886,1305,924,826,4606,5162
0,20000,11745,1621,4908,6138,6226,9170,4853,3265,617,4892,705,868,837,4963,5261
0,20000,10541,1472,4417,8259,8050,11295,4257,3661,718,4853,1593,301,1000,4399,5746
