Class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
1,20000,932,2481,10649,10706,7976,1787,3201,1224,1509,4595,725,993,756,1071,573
1,20000,839,3233,11857,11708,8426,1852,4008,1395,1601,5474,865,622,813,848,815
1,20000,1159,3377,9674,10196,7379,1934,4046,1330,1492,5238,988,1135,976,1228,803
1,20000,906,3426,10777,10628,8194,1266,4075,1077,1410,5408,900,637,683,876,583
1,20000,1131,2809,9680,10168,7663,1997,3980,1184,1262,4789,648,716,843,927,508
1,20000,1080,3018,10377,10573,7532,1486,3916,1453,1596,5470,543,1139,551,801,554
1,20000,759,2800,11582,11453,8542,2024,3783,1274,1355,5383,580,831,693,1405,550
1,20000,1339,3131,10653,10476,7772,1562,3445,910,1125,5217,1078,984,674,847,661
1,20000,1147,2589,9700,9242,7390,1583,3742,1436,1572,5214,824,957,913,1249,736
1,20000,1319,3140,9574,9393,7358,1830,4063,989,1047,5148,950,609,660,1111,791
1,20000,965,3149,11487,11371,8228,1566,3799,1227,1298,5026,498,997,530,1197,622
1,20000,704,3214,10147,10022,7719,1850,3394,1132,1247,4962,651,799,783,929,900
1,20000,951,3475,10270,10317,7958,1801,3971,1193,1123,5577,577,873,450,914,500
1,20000,1229,2932,11267,10820,8729,1860,3939,1250,1917,5657,712,745,694,1215,695
1,20000,1235,2739,10327,10658,8173,1744,4406,1196,1093,5406,572,597,687,983,442
1,20000,867,3084,12004,11729,9038,1715,3641,1501,1856,5282,884,862,446,1040,483
1,20000,1309,3352,11627,11214,8998,1869,3613,1204,1427,4981,555,969,1026,812,544
1,20000,1195,3066,12609,12211,8980,1931,4201,1248,1579,5568,924,607,886,1261,954
1,20000,805,3093,12263,12319,9718,1826,3408,1441,1037,4972,508,962,517,886,1065
1,20000,727,3213,11649,11701,8438,1984,3961,1308,1649,5060,953,879,782,770,835
1,20000,1230,3108,11768,11991,9122,1767,4227,1217,1386,5247,619,937,913,990,564
1,20000,1255,3341,11784,12277,9348,1346,3561,921,1688,5163,684,845,527,771,806
1,20000,1151,2797,10116,10608,7902,1529,3465,1300,1205,5417,923,813,619,1067,738
1,20000,810,3593,10615,10926,8039,1881,3891,1262,1349,5157,925,796,779,888,1046
1,20000,1160,3192,11286,11429,8796,2040,3865,1096,971,5486,634,777,1047,820,657
1,20000,1307,3344,11112,10922,8747,1591,3248,1444,1446,5743,755,1008,546,680,434
1,20000,797,3300,10243,10519,8213,1356,3126,1313,1053,5221,538,797,879,722,987
1,20000,1372,3390,10859,10774,8318,1481,3399,1005,1074,5281,759,589,697,706,682
1,20000,767,2616,11399,11408,8679,1606,3585,1035,1190,5491,625,827,577,1319,923
1,20000,960,2613,10454,10511,9014,1529,3539,1098,1431,5201,759,1227,929,658,809
1,20000,1238,2701,12249,12410,9579,1405,4070,1392,1153,5244,673,996,774,1179,709
1,20000,888,3049,11976,12053,8778,1563,3581,1045,1268,4797,623,781,403,780,691
1,20000,878,3559,10781,11052,8813,1737,3188,1294,1336,5058,759,678,754,927,818
1,20000,997,2575,11151,11230,8659,1811,5176,1332,1046,4881,887,1092,879,1151,744
1,20000,1339,2783,11653,11512,9069,1908,3523,1480,1192,4955,924,1007,932,510,929
1,20000,1149,3155,11765,11535,8745,1830,3866,1345,1347,5337,465,808,576,999,861
1,20000,1263,2948,11893,12101,9164,1875,3413,1485,1219,5273,711,944,826,998,945
1,20000,809,3455,10932,11076,8652,1663,3853,1547,1234,5116,935,657,715,725,889
1,20000,1212,3112,11174,11390,8534,1597,3352,1258,1149,5199,984,810,407,899,928
1,20000,1139,3158,11176,11145,8649,1808,3710,1234,1377,4674,678,1100,836,590,977
1,20000,963,3124,11135,11465,8887,1726,3461,1185,1030,4816,1081,635,551,680,686
1,20000,1118,3297,12147,11950,9182,1819,3953,1086,1143,5076,543,736,729,1116,664
1,20000,1004,2658,11269,11249,8865,1917,3972,1329,1353,4786,714,775,984,1076,866
1,20000,760,2801,11737,11747,8264,1622,3533,1181,1813,4877,463,732,1006,978,932
1,20000,987,2859,10365,10838,8257,1597,3625,1356,1409,4798,769,1045,724,1009,759
1,20000,1084,3414,10273,10290,8209,1337,3822,1176,1398,4913,652,822,481,1199,409
1,20000,883,3262,10818,10543,7734,1650,4000,916,1189,5439,1025,1225,472,1266,959
1,20000,1185,2689,10862,10799,8281,1888,4266,1450,1539,4838,507,623,863,1144,693
1,20000,881,3304,10860,10595,8292,1745,3450,1272,1175,4930,636,977,961,722,506
1,20000,1090,3019,12085,11695,9077,1501,3944,1344,1032,5192,785,1220,596,1008,791
1,20000,717,2598,10529,10527,8631,1185,2678,909,1090,4620,860,745,249,718,885
1,20000,1174,1995,10354,10403,8438,1738,3025,996,1555,3855,565,1062,499,411,805
1,20000,706,2577,10705,10897,8389,1323,2109,1156,1244,4160,746,1569,737,817,1040
1,20000,665,2601,11292,10750,8727,1000,2303,997,926,4101,658,1112,393,985,467
1,20000,827,2459,11313,10962,8544,1185,2638,887,1331,4758,822,828,714,1000,358
1,20000,702,2217,10720,10203,8991,1241,2883,651,1080,4303,1010,1131,92,975,809
1,20000,1193,2594,11155,10747,9042,1935,2876,1296,918,4632,663,924,280,769,339
1,20000,845,2194,11030,11013,8441,1001,2133,1195,1095,4676,534,1108,818,726,896
1,20000,1252,2047,7406,7554,6038,1454,3050,1092,1713,4771,1084,555,452,644,682
1,20000,753,2154,11403,11751,8774,1349,2615,975,1190,4525,894,976,660,945,724
1,20000,1272,2325,7616,8029,5550,1874,2618,1068,803,4504,924,1085,91,1149,87
1,20000,1012,2871,10183,10447,7919,1532,2712,1138,1018,4267,590,1258,480,1098,922
1,20000,1118,1938,10876,10859,8844,1671,3112,1216,1120,4501,1054,1301,410,1157,285
1,20000,1063,2360,7781,7568,5995,1664,2446,950,830,4990,683,1104,642,970,353
1,20000,933,2603,10847,10656,8415,1401,3287,1089,1719,4734,1139,923,96,533,975
1,20000,689,1996,10757,10882,8739,1450,2823,724,1192,4769,657,1316,665,527,606
1,20000,1007,2311,10255,10449,8068,1651,1985,843,1309,4585,1111,1083,634,1168,814
1,20000,840,2000,11026,10991,8879,1132,3144,1233,942,4884,851,1018,624,1041,333
1,20000,1111,2700,10571,10200,8050,1539,2611,1128,1026,4830,891,1073,392,829,635
1,20000,843,2381,10899,10578,8324,1333,2557,1108,1424,4548,826,766,968,883,698
1,20000,706,2185,10055,10008,8352,1799,2295,776,1493,4610,959,806,0,582,76
1,20000,1365,1948,10715,10679,8491,1473,3049,1384,961,4777,1081,858,364,744,773
1,20000,851,2214,10113,9987,8281,1257,2531,1107,1407,4904,491,733,759,974,545
1,20000,1018,2116,10927,10882,8260,1252,2937,1215,1060,5001,664,605,825,785,508
1,20000,876,2401,10596,10801,8809,1678,2311,740,886,5142,807,550,744,466,653
1,20000,804,2526,10418,10337,8200,1346,2659,1346,1385,4491,775,861,0,577,502
1,20000,1037,1982,10743,11001,7891,1102,2849,1089,1569,4398,890,579,639,788,572
1,20000,1625,2707,8112,8477,6129,1392,2699,869,873,4951,750,593,561,1149,677
1,20000,730,2266,10432,10676,8584,1775,2471,1120,694,4634,1203,991,1138,1017,840
1,20000,1332,2586,10946,10817,8134,1472,2917,1467,1182,4495,432,924,461,1112,687
1,20000,481,2381,8371,8450,6330,1350,2361,1125,1194,4641,646,1165,775,905,80
1,20000,1155,2702,10721,10475,8119,1393,2884,1310,1463,4912,790,911,478,699,224
1,20000,1003,2521,10252,10255,8092,1676,2875,812,1285,5335,1074,958,746,682,418
1,20000,1010,2455,10789,10592,8584,1596,2428,1307,1207,4361,899,652,761,626,462
1,20000,821,2921,10877,10713,8207,1277,2215,1180,1481,5014,588,771,428,449,321
1,20000,639,2284,10795,10478,8106,1731,2320,914,1253,5101,959,761,364,747,602
1,20000,1103,2587,10832,10502,8452,1244,3097,960,897,4860,925,656,395,884,845
1,20000,943,2264,10733,11121,8134,1472,2360,1063,1342,4118,815,875,862,689,600
1,20000,755,2581,10396,10665,8307,1751,2665,769,1372,4964,1196,1012,582,767,484
1,20000,918,2149,8199,8488,6672,1142,2471,972,1174,4803,825,856,459,565,969
1,20000,855,2462,10616,10482,7652,1601,2809,573,1270,4555,852,1023,872,603,584
1,20000,1160,2493,10757,10669,7967,1518,2799,897,1198,4362,1166,789,720,821,432
1,20000,1157,2520,10810,10716,8409,1365,2852,1265,1426,4804,781,893,874,1134,760
1,20000,1180,2888,10129,10133,8338,1522,2901,811,1191,5048,1089,887,493,934,404
1,20000,1232,2399,11043,11250,8650,1455,2682,1364,1300,4730,734,1008,751,968,720
1,20000,809,1932,8034,8375,6083,1690,2447,1161,921,4602,562,864,269,696,885
1,20000,685,2288,10606,10845,8536,1864,2640,1147,1232,4456,1031,761,297,750,346
1,20000,987,2380,10959,11069,9101,1216,1998,966,1059,4190,782,1197,901,747,0
1,20000,1054,2103,11227,11576,8545,1521,2938,1001,1270,4232,1203,1035,921,938,1169
1,20000,744,2445,10873,10934,8743,1767,3128,1171,968,4691,495,831,588,636,447
