class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
1,20000,82,2223,10594,10615,8146,1657,462,79,130,2728,366,82,49,62,37
1,20000,95,1776,9512,10726,7303,1443,513,68,97,2894,374,67,33,96,47
1,20000,62,2273,11009,10728,7926,1698,496,57,93,2869,384,62,35,71,46
1,20000,95,2111,10959,11042,8429,1752,499,59,132,3254,361,44,39,68,48
1,20000,48,1981,8458,13824,6798,1299,584,89,128,3283,223,76,26,61,44
1,20000,58,1991,11431,13841,8512,1753,478,62,123,3147,240,55,18,57,31
1,20000,54,1850,11317,13862,8367,1766,639,69,99,3894,275,60,19,59,42
1,20000,66,2092,11958,11119,9074,1504,532,50,122,3363,291,63,31,51,37
1,20000,57,1859,10445,11120,8129,1580,525,69,105,3345,221,48,27,83,67
1,20000,67,2223,11183,11160,8694,1122,437,78,156,3154,372,67,31,81,33
1,20000,59,1793,7722,11179,5725,1560,388,70,121,3622,430,70,26,76,33
1,20000,60,2145,10662,13596,7909,1553,539,64,120,3591,425,51,38,77,45
1,20000,79,1968,8061,13624,6359,1389,470,66,125,2101,372,62,33,68,50
1,20000,60,2093,8206,13661,6381,1416,523,52,107,2069,380,61,25,64,45
1,20000,40,1802,9462,13676,7101,1401,533,59,96,3838,424,70,38,76,55
1,20000,59,2043,9303,13751,6939,1828,568,66,122,3735,356,69,35,70,43
1,20000,61,1870,10313,13780,7810,1379,481,72,130,3674,273,65,35,58,34
1,20000,65,1918,9250,13801,6792,1366,497,59,89,2853,280,64,24,55,43
1,20000,54,2179,10619,13813,7711,1480,413,52,110,2575,327,67,24,67,40
1,20000,64,1893,8316,13823,6464,1213,488,44,92,2682,340,68,18,68,33
1,20000,47,2206,11151,13899,8342,1589,546,49,110,2907,250,52,33,56,32
1,20000,64,1965,11924,14153,8903,1705,498,50,102,2427,391,75,30,75,40
1,20000,56,2383,10705,13646,8481,1228,642,75,104,3261,261,75,29,76,57
1,20000,61,1769,11521,13648,8983,1366,461,70,109,2812,290,54,27,80,57
1,20000,70,2473,10816,13653,8052,1492,471,71,111,3245,217,70,32,76,40
1,20000,65,2068,11812,14172,9294,1081,555,56,79,3311,438,74,34,59,37
1,20000,64,1882,11469,14412,8741,1471,506,79,101,3104,327,65,38,61,37
1,20000,77,1965,10298,11191,7493,1302,459,56,114,3287,264,59,34,61,32
1,20000,65,2076,9644,11547,7490,1342,553,52,83,2917,250,71,43,67,36
1,20000,87,2096,10562,11688,8210,1654,511,51,110,2609,344,57,33,62,30
1,20000,88,2030,9758,11690,7266,1518,358,71,107,2446,310,73,45,53,43
1,20000,72,2366,11319,11705,8669,1806,420,50,113,2949,237,54,24,57,31
1,20000,55,2169,12419,12909,9442,1663,513,51,83,2737,266,71,26,59,43
1,20000,77,2069,8876,12928,6492,1363,561,72,137,3911,332,62,16,61,41
1,20000,56,2173,11639,12959,9245,1793,420,87,171,3217,334,58,32,69,34
1,20000,57,2184,9103,12964,7389,1734,473,83,131,3125,300,67,31,68,46
1,20000,79,2013,8258,11782,6218,1648,455,61,86,3137,225,68,25,68,29
1,20000,67,2054,8897,11789,6977,1604,480,58,105,3430,302,64,23,59,32
1,20000,67,2157,10354,11903,7793,1403,478,52,106,3629,282,67,38,74,29
1,20000,74,1994,7759,12686,6584,1502,685,58,94,2935,319,54,38,62,36
1,20000,89,1906,9085,12791,7215,1430,566,64,115,2542,257,58,33,70,32
1,20000,62,1829,10517,13039,7612,1444,504,74,110,2041,209,66,39,66,54
1,20000,51,2082,9139,13073,7044,1392,495,79,118,2522,288,63,35,60,48
1,20000,71,1881,8261,13121,5963,1459,522,59,130,2472,251,70,28,56,38
1,20000,60,1825,9565,13167,7419,1399,621,35,84,2652,342,65,25,71,24
1,20000,74,1976,12219,13238,9344,1764,487,0,167,2268,289,61,27,62,38
1,20000,59,2145,10921,13239,8191,1343,615,49,84,2746,299,66,29,73,47
1,20000,57,1951,9631,13246,6879,1370,569,30,84,2106,375,67,33,62,26
1,20000,69,2272,7887,13321,5775,1571,638,73,92,2562,366,58,41,85,33
1,20000,80,1943,11092,10756,8799,1784,503,61,107,2342,364,56,41,66,29
1,20000,474,2199,9683,10759,7529,1068,2890,456,921,2893,355,81,194,489,258
1,20000,527,2115,9672,10772,7469,1055,3076,412,778,3013,333,522,195,443,229
1,20000,559,2034,9625,10783,7467,1043,3171,454,841,3144,364,495,219,444,209
1,20000,559,1920,9607,10790,7430,1110,2612,398,749,2761,375,530,243,375,214
1,20000,560,2068,9936,10806,7621,1066,2746,376,858,2714,331,496,205,412,193
1,20000,498,2270,9712,10814,7528,1049,2733,459,880,2663,335,532,197,397,181
1,20000,542,2046,9583,10819,7416,1089,2970,399,781,2770,348,466,201,414,237
1,20000,577,2215,9756,10832,7590,1107,2725,345,879,2774,337,525,219,426,186
1,20000,534,2144,9585,10848,7440,1051,2878,426,744,3022,345,503,218,435,209
1,20000,574,2122,9584,10853,7388,1078,2790,468,769,2708,377,542,203,407,206
1,20000,517,2210,9637,10854,7458,1078,2787,437,866,2978,354,573,200,341,198
1,20000,540,2109,9914,10856,7715,1099,2781,360,764,2885,366,521,222,432,227
1,20000,521,2285,9908,10864,7749,1111,2759,386,764,3024,374,493,206,366,200
1,20000,595,2133,9690,10883,7507,1086,2114,406,768,2916,364,513,210,396,212
1,20000,556,2241,9691,10885,7596,1042,2156,383,733,2986,342,505,231,405,233
1,20000,599,2262,9829,10899,7786,1087,2173,402,887,2768,348,569,216,365,219
1,20000,579,2136,9773,10901,7627,1088,2028,385,848,2869,344,533,249,367,208
1,20000,588,2275,9642,10912,7360,1084,2109,390,868,2829,346,508,198,413,198
1,20000,568,2304,9796,10915,7780,1093,2136,444,758,3011,347,498,233,359,221
1,20000,563,2183,9424,10918,7245,1022,2171,387,799,2914,349,547,209,418,234
1,20000,515,2325,9517,10924,7473,1018,2112,400,783,2853,374,515,224,430,236
1,20000,591,2377,9775,10932,7467,1054,2137,444,784,2966,348,562,256,461,184
1,20000,539,2078,9718,10942,7446,1072,2706,368,810,2663,344,532,222,417,277
