Class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
1,20000,4006,476,6631,6781,3789,528,2090,297,356,3565,96,201,69,100,55
1,20000,275,1001,6562,6943,3572,571,1996,362,466,3619,126,211,97,168,120
1,20000,308,942,6557,6719,3624,500,2062,351,467,3509,163,161,116,94,76
1,20000,329,762,6343,6534,3783,602,2168,299,435,3565,127,160,30,123,63
1,20000,253,924,6201,6648,3656,564,1958,300,480,3476,122,248,75,103,39
1,20000,5526,297,6048,6727,3631,541,2105,309,415,3642,135,214,49,112,49
1,20000,299,945,6479,6464,3747,560,2334,368,493,3814,100,91,80,143,30
1,20000,307,865,6592,6755,3894,522,2058,327,427,3253,108,195,102,135,139
1,20000,3496,560,6703,6672,3792,547,1938,334,386,3448,95,185,89,103,70
1,20000,3618,498,6680,6407,3899,538,1778,148,148,3111,86,356,151,216,86
1,20000,257,951,6783,6332,3988,585,2500,0,147,2941,72,157,57,72,86
1,20000,255,873,6778,6464,4026,612,1679,153,153,3511,95,206,95,174,63
1,20000,217,903,6648,6545,3892,576,2443,347,299,3656,159,207,95,143,79
1,20000,1559,635,6824,6573,3897,579,2319,145,290,3043,156,109,47,187,47
1,20000,293,880,6871,6747,3958,584,1752,0,146,3212,100,157,114,129,86
1,20000,276,795,6703,8416,3912,585,1846,154,308,3538,114,244,49,212,65
1,20000,335,767,6850,6452,3997,636,1353,0,301,3008,79,206,111,158,79
