Class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
0,20000,549,1558,715,1973,362,733,335,23,129,2155,339,1394,4556,3010,0
0,20000,961,2085,869,1707,0,1629,492,0,0,2137,362,1595,7784,5100,0
0,20000,943,2088,2292,1872,80,478,0,0,0,2356,390,0,5248,4180,0
0,20000,834,1960,2377,1778,68,610,180,29,150,2107,1791,1982,7169,4737,0
0,20000,998,2068,1963,1875,46,696,128,63,181,2310,319,1381,7447,5023,0
0,20000,913,1783,2047,1799,81,598,180,73,148,2618,314,1397,8845,5540,0
0,20000,966,1800,2144,1744,67,464,0,0,0,2480,415,0,5000,4290,0
0,20000,850,2177,2125,1882,66,609,172,56,147,2159,1933,2156,7291,4808,0
0,20000,974,2414,2276,1968,82,709,100,57,168,2590,304,1437,7636,5095,0
0,20000,959,2019,722,2340,385,733,0,0,0,2157,400,1867,8882,5368,0
0,20000,939,1595,882,2049,0,1789,338,86,145,2745,306,598,8974,5540,0
0,20000,825,2891,2150,1695,80,487,167,102,127,2334,650,1370,7141,4525,0
0,20000,549,1692,2128,1578,79,597,208,66,157,2407,356,1688,4600,3351,0
0,20000,994,1822,2169,1862,51,682,182,60,102,2138,408,1358,4740,4281,0
0,20000,994,2115,890,1932,0,1620,520,0,0,2133,363,1585,7650,5030,0
0,20000,959,1765,2219,1951,71,496,0,0,0,2501,406,0,5131,4433,0
0,20000,860,2220,2299,1759,62,628,159,32,163,1934,1910,1977,7209,4699,0
0,20000,982,1679,2116,1838,72,689,0,0,0,2293,645,2107,5186,4241,0
0,20000,554,1592,748,2279,387,738,331,35,147,2478,356,1577,5005,3183,0
0,20000,1010,671,886,1843,0,1568,174,56,178,2725,385,1828,4992,4391,0
0,20000,971,1818,2225,1879,66,476,222,0,0,2438,1978,582,8888,5380,0
0,20000,927,1815,2252,1689,54,604,171,68,149,2266,315,1693,8784,5573,0
0,20000,1014,678,881,1942,0,1893,188,60,169,2773,395,1700,4757,4451,0
0,20000,970,1722,2229,1769,70,486,200,0,0,2422,1895,584,8617,5361,0
0,20000,929,2080,2124,1755,68,628,173,85,158,2375,323,1561,8750,5338,0
0,20000,969,2272,874,1890,0,1546,514,0,0,2425,333,1633,7645,4956,0
0,20000,952,1883,2159,1870,73,471,0,0,0,2487,402,0,5218,4296,0
0,20000,958,2220,745,2279,380,741,0,0,0,2353,375,1539,8729,5219,0
0,20000,564,1773,748,2392,371,749,359,31,141,2384,355,1583,4897,3109,0
0,20000,1006,684,875,1997,0,1706,201,62,173,2904,384,1614,4827,4431,0
0,20000,969,2080,2131,2030,87,470,222,0,0,2547,1758,587,8831,5212,0
0,20000,931,1690,2146,1651,69,636,181,79,159,2254,322,1402,9002,5764,0
0,20000,974,1924,886,1828,0,1770,505,0,0,2209,348,1367,7612,4813,0
0,20000,953,1826,861,1577,0,1441,479,0,0,1909,344,1464,7437,4787,0
0,20000,941,1772,2056,1771,61,464,0,0,0,2245,382,0,5031,3968,0
0,20000,830,1685,2081,1442,44,600,166,23,133,1948,1443,1743,7032,4440,0
0,20000,976,1878,1827,1632,45,687,113,49,162,2125,299,1135,7320,4768,0
0,20000,981,1670,879,1766,0,1495,184,51,100,2027,311,1553,7446,4789,0
0,20000,610,2348,1969,1848,62,451,0,0,0,2087,367,1215,4783,3218,0
0,20000,837,1610,722,2169,373,719,0,0,0,2181,1489,1410,7141,4390,0
0,20000,978,1654,866,1800,0,1373,183,50,95,2060,302,1404,7518,4885,0
0,20000,999,662,880,1677,0,1509,161,41,143,2499,387,1482,4670,4237,0
0,20000,955,1691,2077,1625,72,474,197,0,0,2198,1585,563,8668,5077,0
0,20000,919,1510,1975,1545,50,610,160,81,141,2087,292,1283,8836,5321,0
0,20000,950,1737,1998,1591,55,466,0,0,0,2180,389,0,4961,3912,0
0,20000,829,1720,2019,1569,59,595,150,34,128,1820,1413,1881,7115,4286,0
0,20000,976,1861,1916,1634,57,672,118,40,166,2052,287,1301,7537,4819,0
0,20000,947,1635,724,1914,359,719,0,0,0,2002,370,1242,8667,5285,0
0,20000,914,1408,871,1742,0,1504,337,82,143,2604,290,577,8652,5352,0
0,20000,822,2724,2060,1633,63,455,177,112,134,2063,622,1254,6932,4325,0
0,20000,548,1657,1936,1440,45,597,207,59,148,2261,342,1394,4573,2894,0
0,20000,991,1490,1867,1574,41,665,142,36,106,1958,374,1174,4494,4174,0
0,20000,597,2436,1893,1856,64,461,0,0,0,2029,369,1179,4564,3332,0
0,20000,968,1452,2019,1347,55,592,111,0,0,1879,301,0,7352,4776,0
0,20000,951,1577,1921,1748,47,677,0,0,0,2139,619,1731,5077,3885,0
0,20000,973,1713,872,1714,0,1444,162,56,96,1955,309,1418,7352,4924,0
0,20000,612,2288,2096,1685,56,460,0,0,0,2222,379,1419,4549,3156,0
0,20000,962,1618,2058,1528,55,612,101,0,0,1911,291,0,7268,4716,0
0,20000,968,1730,1909,1341,57,606,104,0,0,1819,305,0,7246,4823,0
0,20000,945,1645,1925,1755,42,678,0,0,0,2244,619,1885,5020,3915,0
0,20000,851,1914,1897,1487,55,600,146,35,138,1881,1351,1983,7092,4362,0
0,20000,975,1858,2032,1546,61,687,110,32,158,2243,310,1170,7341,4953,0
