Class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
1,20000,281,1372,9317,9385,8200,905,3947,211,974,3303,199,0,200,0,194
1,20000,358,2457,9180,9053,7729,843,4492,213,998,3328,0,191,0,199,189
1,20000,161,2033,8341,8202,7102,1252,4950,581,763,3697,0,176,186,0,176
1,20000,544,893,7731,7779,7609,983,3586,195,706,5585,666,341,0,0,0
1,20000,787,2111,9079,9140,8570,995,3862,340,729,2484,189,198,193,202,372
1,20000,343,1251,8147,8146,8351,1286,3504,185,505,2878,154,152,157,153,0
1,20000,317,1648,9157,9056,7985,1295,4131,359,716,2277,165,343,341,341,167
1,20000,499,1865,8229,8160,7919,831,4655,382,569,2993,169,168,0,332,0
1,20000,455,2557,7120,7059,5613,863,4253,178,519,2302,184,183,0,179,171
1,20000,461,1914,8603,8476,7702,1117,4515,351,695,2869,0,0,0,179,0
1,20000,422,2157,7730,7503,6493,970,3857,544,726,3586,0,0,0,491,165
1,20000,488,2259,9319,9521,6996,911,3777,317,743,4217,184,349,177,349,0
1,20000,626,1743,9777,9777,8825,1191,4254,200,483,3917,0,0,0,172,0
1,20000,544,1018,7314,7328,6905,1026,3265,693,553,2254,182,525,173,517,0
1,20000,419,1403,8024,8018,6846,1104,4377,143,425,2398,192,195,206,378,209
1,20000,557,2436,8754,8757,7776,1181,3943,299,860,1951,470,158,311,168,0
1,20000,434,1108,8259,8210,6524,813,4984,564,558,3506,180,0,0,359,188
1,20000,361,2285,7772,7802,6370,957,4294,468,792,2599,178,181,359,366,0
1,20000,710,1700,8417,8323,7609,633,4561,376,765,3596,367,365,198,366,0
1,20000,485,1297,8638,8590,7259,647,4366,526,756,2237,0,314,312,164,0
1,20000,160,1578,8604,8472,7156,995,5373,523,760,2579,173,177,184,0,0
1,20000,154,1158,9167,9269,7860,1016,4349,167,336,3513,181,0,0,191,191
1,20000,520,1465,7469,7565,6580,930,5391,361,701,2453,174,0,167,165,0
1,20000,343,2031,7675,7693,7006,993,4896,308,770,2335,338,172,0,180,0
1,20000,358,1422,8155,8249,8368,1102,3582,181,514,2934,163,169,169,169,0
1,20000,322,1610,9308,9195,8044,1249,4147,366,715,2191,165,342,338,342,165
1,20000,505,1837,8265,8114,7900,838,4550,384,574,3065,167,166,0,329,0
1,20000,446,2717,7162,7063,5814,862,4047,183,523,2359,171,168,0,181,181
1,20000,473,2075,8564,8509,7506,918,4650,351,747,2840,0,0,0,175,0
1,20000,428,2099,7664,7542,6299,975,3875,538,710,3527,0,0,0,489,173
1,20000,362,1512,9201,9056,7181,804,3221,315,476,2211,170,486,169,495,0
1,20000,616,1272,9650,9574,7040,921,3455,497,1012,3043,0,177,193,185,0
1,20000,589,1810,8320,8213,7719,704,4464,493,641,2887,185,348,0,358,0
1,20000,452,1467,8638,8670,7832,658,4067,386,575,3530,0,0,0,159,0
1,20000,598,1652,7575,7809,7306,1039,5250,177,721,2992,189,0,0,0,186
1,20000,314,1562,8443,8268,7329,886,4568,519,848,2479,0,178,330,162,177
1,20000,411,1852,7638,7867,6003,862,4599,358,873,2885,336,167,0,0,0
1,20000,465,1770,9304,9226,7089,966,5006,355,345,3358,189,175,173,357,0
1,20000,465,1279,9200,9200,8800,1400,3968,317,952,3651,313,156,0,156,0
