Class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
1,20000,455,1802,8812,8914,7014,831,4149,504,685,3162,194,194,114,176,194
1,20000,399,2136,7367,9133,5480,1034,4126,670,838,3141,189,236,126,267,126
1,20000,415,1637,9292,9529,6899,937,4518,622,850,2839,148,312,131,263,181
1,20000,519,1668,9395,8423,7098,1148,4212,627,666,3095,205,339,62,259,170
1,20000,640,2016,9319,9462,6693,1086,4368,573,791,3142,200,317,117,301,100
1,20000,541,1570,8078,7745,6109,992,4184,592,799,2700,174,241,129,306,154
1,20000,451,1442,8644,9292,6447,887,4130,661,893,3162,117,368,108,218,105
1,20000,489,1392,9197,9534,6575,787,3850,609,774,2976,161,234,129,243,140
1,20000,459,1867,9811,8788,6975,778,3852,458,833,2832,169,251,132,264,120
1,20000,466,1350,8439,7967,6323,952,3940,550,772,3097,216,254,113,255,135
1,20000,577,1751,9316,8665,7150,1062,4219,547,664,3281,180,240,120,225,150
1,20000,645,1563,9356,9299,7375,981,4660,648,752,3323,228,352,103,186,165
1,20000,512,1852,9431,9637,7154,874,4484,551,846,3382,234,288,180,216,54
1,20000,497,1796,9302,7945,7219,893,3955,469,673,3384,173,294,173,173,138
1,20000,530,1591,9265,8243,6991,936,4118,655,739,3379,137,274,107,168,91
1,20000,527,1702,7554,8981,5738,1038,4089,590,759,3098,148,214,82,263,131
1,20000,497,1768,9209,9466,7007,901,4587,691,825,2994,133,148,59,221,59
1,20000,469,1690,9522,8653,7121,1139,4605,801,601,3043,90,163,90,235,126
1,20000,478,1933,8316,9316,6632,911,4589,629,650,3147,143,197,54,161,126
1,20000,477,1775,8571,8316,6357,911,4340,553,798,3357,218,251,84,251,168
1,20000,654,1780,9008,8679,6512,853,4079,582,804,2899,218,341,137,305,109
1,20000,449,1661,8217,9073,5132,812,3919,652,782,2818,135,197,98,328,171
1,20000,589,1596,6846,9051,5069,1004,3979,672,677,2891,166,213,141,253,196
1,20000,572,1215,8156,9181,6002,959,4511,645,764,2697,129,175,105,288,170
1,20000,602,1629,9008,9257,6790,727,4028,561,670,2980,202,247,122,244,159
1,20000,665,1173,9092,7682,7182,998,4389,652,771,3105,242,369,123,192,172
1,20000,522,1523,9227,8820,6967,883,4119,561,852,3187,256,294,193,240,65
1,20000,509,1616,9160,8792,7099,915,3564,475,691,3091,180,303,187,194,153
1,20000,551,1371,9108,7805,6639,951,3983,657,753,3173,153,288,131,173,108
1,20000,534,1368,7255,8484,5563,770,3905,602,781,2957,164,220,84,267,133
1,20000,510,2077,9529,8588,7442,1003,4040,667,788,3515,204,289,119,238,153
1,20000,550,1976,7949,9374,4551,613,4331,523,858,3619,118,211,101,236,93
1,20000,497,1660,8558,7744,6842,948,4050,538,805,3077,153,238,112,236,145
1,20000,537,2153,8382,8685,6309,750,4240,672,827,2917,181,265,112,279,136
1,20000,544,1668,9365,7935,7135,905,3668,727,817,2930,165,222,118,226,139
1,20000,556,1407,8184,9026,5698,937,4364,552,893,2715,150,223,128,257,129
1,20000,550,1380,7918,7078,5452,858,4486,649,724,2818,176,248,102,225,133
1,20000,441,1813,9277,9173,7232,829,4308,651,776,2931,166,246,83,257,131
1,20000,530,1622,7969,8428,6049,714,4249,550,643,2875,173,240,131,272,130
1,20000,556,1294,8741,8550,6802,953,4173,611,729,2860,169,274,105,236,173
1,20000,483,1693,8796,9013,6689,776,3759,638,805,2600,160,217,139,236,144
1,20000,631,1885,8345,9006,6521,977,4480,639,798,2843,180,215,106,248,123
1,20000,485,2546,9313,9228,7193,997,4387,604,659,2806,233,329,127,197,89
1,20000,455,1856,8299,8677,6001,959,4252,649,772,2877,339,296,201,214,131
1,20000,467,1610,8680,9098,6336,796,4477,557,604,2957,157,213,117,253,136
1,20000,518,1632,9063,8805,6866,777,3911,542,820,2655,202,289,149,248,167
1,20000,445,1728,8814,8272,6547,875,3325,595,734,3144,256,327,144,180,105
1,20000,484,1969,7796,9449,5840,963,3923,775,785,2935,216,249,41,144,98
1,20000,479,1829,8802,8623,6813,912,4829,451,583,2911,115,208,145,213,173
1,20000,395,1747,8606,7591,6517,936,4004,753,709,3101,174,180,136,165,183
1,20000,519,1896,8734,10070,6574,968,4679,602,803,3213,177,247,88,194,88
1,20000,573,1848,9214,9694,7016,1069,3955,494,721,3399,143,304,54,250,107
1,20000,414,2055,9387,9168,6672,932,5221,568,737,2779,250,289,77,231,135
1,20000,610,1831,9299,9530,6713,1022,4244,528,650,3127,165,220,55,147,147
1,20000,385,1888,8836,8327,6785,1065,4420,570,692,3116,177,217,217,177,138
1,20000,588,1877,9195,7257,6901,986,4501,494,722,2792,176,313,78,176,59
1,20000,380,1865,9525,9102,7286,1014,4867,661,790,2645,228,263,123,158,105
1,20000,552,1694,9257,9195,7202,1078,5222,571,650,2837,196,244,163,196,114
1,20000,520,1480,9331,9773,7127,1092,4392,598,660,3505,185,252,118,202,185
1,20000,464,1686,8272,9168,6257,995,4365,714,735,3505,167,279,130,260,74
1,20000,606,1667,8792,9132,6679,849,3852,614,762,3217,203,288,186,220,135
1,20000,386,1629,8484,7554,6586,1023,4506,678,837,2832,124,389,155,326,124
1,20000,628,1736,8550,9387,6855,734,4008,589,648,3379,217,296,79,276,99
1,20000,468,1730,8805,8566,6691,1029,4566,644,741,3180,243,243,142,304,203
1,20000,435,1928,8362,8967,5343,802,4077,646,767,3148,116,174,73,319,160
1,20000,588,1802,7116,7116,5295,981,4174,657,676,3034,159,188,116,246,174
1,20000,557,1546,8450,7367,6378,937,4836,637,756,3085,125,156,94,281,156
1,20000,562,1978,9376,8541,7203,966,3857,551,776,3163,214,175,117,155,97
1,20000,433,1773,7809,9475,5695,979,4366,644,748,3222,195,225,165,315,135
1,20000,406,1769,7634,8287,5525,943,3959,642,808,3212,203,261,130,203,58
1,20000,471,1988,8566,9589,6690,990,4596,651,672,3316,224,197,145,302,39
1,20000,565,1751,9738,9799,7387,1049,4302,640,678,2888,163,285,82,231,95
1,20000,434,1414,9317,8108,7122,1014,4745,593,723,2966,74,221,118,280,118
1,20000,636,1723,9374,8812,7059,1083,4826,620,789,2986,183,329,128,256,91
1,20000,528,1741,9799,8799,7307,866,4919,542,832,2622,159,225,106,264,79
1,20000,548,1927,9009,9734,6638,1101,4986,621,749,2868,163,218,96,254,138
1,20000,468,1790,9168,8333,6905,948,4599,528,841,2838,153,234,103,237,137
1,20000,468,1777,8566,8452,6531,920,4652,553,799,2869,171,216,116,250,148
1,20000,468,1752,7805,7911,5753,1030,3963,554,739,3244,171,341,171,239,137
1,20000,521,1875,8751,8340,6572,850,4353,698,780,3018,155,229,115,257,125
1,20000,494,1664,8066,8485,5901,975,4309,641,741,3086,172,242,104,235,124
1,20000,493,1917,8068,8068,5949,949,3948,578,698,3330,143,234,103,213,136
1,20000,517,1948,9340,9525,7371,1015,4555,606,684,3069,165,229,95,244,143
1,20000,484,1823,8889,7914,7083,992,4577,597,697,2746,164,197,108,230,144
1,20000,533,2010,9452,8566,7260,1117,5319,591,683,2530,173,226,107,250,132
1,20000,410,1758,9376,9319,7310,1072,4736,698,679,2906,175,191,138,245,96
1,20000,508,1744,8287,8138,6009,861,5217,481,616,2733,176,220,106,216,122
