Class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
1,20000,408,2915,7559,7800,5443,605,5849,472,1226,2547,0,204,0,102,204
1,20000,697,2828,7926,7340,6359,829,6195,472,236,2537,122,61,61,122,61
1,20000,512,2175,7304,6704,4870,870,6356,583,466,2566,0,337,202,202,67
1,20000,443,2817,7924,6304,6186,805,5823,456,557,2177,0,347,116,347,0
1,20000,304,2516,7870,6917,5274,974,4831,899,674,2697,0,100,100,100,300
1,20000,603,2814,8195,7285,5680,811,5484,839,645,2710,61,61,183,305,61
1,20000,418,2505,7298,7559,4927,957,6165,506,587,2426,86,87,103,209,212
1,20000,379,2683,6803,7077,4665,785,5370,703,959,2294,97,142,96,201,217
1,20000,375,2336,6821,8178,4714,538,5412,532,845,2414,239,250,121,367,0
1,20000,536,1911,7153,7853,4628,887,6176,608,477,2249,0,343,223,207,72
1,20000,448,2514,7587,7359,5907,808,5656,457,579,2000,0,372,136,355,0
1,20000,328,2315,7741,7122,5115,976,4647,908,678,2423,0,105,114,125,313
1,20000,610,2693,7928,6974,5567,823,5362,841,647,2588,65,84,205,326,78
1,20000,550,3675,7360,7304,5515,971,5610,527,514,2299,163,340,123,220,181
1,20000,433,2707,8086,7021,5837,747,5361,223,781,2207,153,243,182,61,57
1,20000,411,2113,7687,7866,5175,1014,5379,0,602,2150,84,184,96,251,135
1,20000,301,2006,7540,7570,6249,910,4678,634,900,2172,107,230,120,123,0
1,20000,474,2418,8363,7395,5817,921,5621,577,702,2444,97,106,307,302,102
1,20000,254,2313,6042,7539,3883,762,5022,488,432,2197,136,128,0,139,132
1,20000,366,1986,6982,7202,5396,925,5938,368,813,2703,63,204,191,516,313
1,20000,499,2404,7763,7379,5191,892,5911,756,627,2260,0,69,84,460,192
1,20000,314,2277,7536,7441,5324,428,5379,443,704,2212,298,470,128,67,0
1,20000,417,2454,6767,7290,5127,929,5404,760,855,2305,204,102,118,294,107
1,20000,578,2349,6677,7545,5449,941,5569,491,593,2182,64,245,76,126,71
1,20000,535,3850,7467,6878,5633,961,5726,505,505,2484,159,318,106,212,159
1,20000,416,2818,8448,6987,5991,1121,5622,216,757,2378,133,222,177,44,44
1,20000,395,2500,7812,7467,5459,1176,5763,0,593,2288,80,160,80,240,120
1,20000,298,2383,7666,7723,6381,899,4937,633,886,2405,104,207,104,104,0
1,20000,465,2664,8478,5589,6174,913,5819,560,690,2672,95,95,284,284,95
1,20000,240,2643,6393,7457,4016,738,5256,470,427,2564,120,120,0,120,120
1,20000,208,2917,6614,7373,5354,787,5532,365,365,2249,77,193,39,231,116
1,20000,501,2688,7193,6000,5439,746,4938,617,741,2716,120,279,0,120,120
