Class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
1,20000,704,1461,9344,9265,5794,829,4308,687,700,3338,358,186,178,273,109
1,20000,522,1099,9402,10340,6616,921,4443,523,503,3877,263,167,0,327,71
1,20000,239,2150,10755,10955,7062,714,4211,599,843,3435,186,226,60,287,167
1,20000,446,1486,8873,11204,6812,973,5149,632,820,2666,161,256,117,360,55
1,20000,614,1222,10540,9280,7506,1008,3627,623,709,3118,283,331,149,98,148
1,20000,1551,1302,10978,9509,8205,719,4684,611,807,3084,282,318,126,365,0
1,20000,602,1755,9709,10872,7053,776,4054,492,724,3242,161,392,60,171,108
1,20000,412,1158,10673,9754,8350,731,3994,603,689,2976,243,382,696,815,601
1,20000,523,1275,10918,10338,8776,870,4308,585,730,2942,124,265,177,212,113
1,20000,486,1080,8806,9638,6754,807,4685,428,668,2851,70,118,242,479,125
1,20000,706,1835,9635,9411,7602,986,3754,508,613,3283,158,357,122,302,156
1,20000,509,1494,10532,11687,7178,913,4272,713,714,3055,63,239,179,266,102
1,20000,516,1548,10965,11178,8314,1072,4181,587,676,3324,243,161,130,131,56
1,20000,583,1578,10128,10025,6873,867,4106,591,840,3592,150,333,108,211,143
1,20000,485,2031,10558,11290,6968,1130,3990,561,627,3742,140,233,64,199,71
1,20000,488,1921,9771,11196,6731,843,4793,612,934,3458,154,208,120,147,101
1,20000,622,2332,9719,12206,6186,858,4316,599,676,3334,172,0,164,343,0
1,20000,456,1499,11078,9984,8568,1001,4081,629,741,4361,210,283,161,154,150
1,20000,524,1456,10103,10218,6493,850,4506,536,662,2876,0,389,0,196,115
1,20000,458,1683,9964,8964,6334,650,5612,745,796,2114,218,74,85,72,91
1,20000,568,1571,9348,10613,6237,1001,4180,485,520,2804,0,665,0,382,0
1,20000,514,1525,9356,9544,6094,971,4033,551,543,2778,136,0,131,0,0
1,20000,505,1473,9927,11015,6493,1062,4665,738,748,3278,157,371,99,239,96
1,20000,464,1423,10059,11403,7421,786,5232,442,655,2342,167,273,172,164,103
1,20000,607,1748,10186,11467,7565,831,3991,700,554,2937,134,170,350,214,108
1,20000,482,1649,10399,9555,7476,820,4913,510,730,2902,205,278,212,349,152
1,20000,360,1605,11968,9707,9316,992,4485,697,652,2894,0,481,0,482,0
1,20000,588,1322,11116,11265,8177,870,4566,680,670,3190,128,274,0,148,136
1,20000,853,1643,11246,12240,8144,1044,5471,585,671,2618,560,161,119,128,94
1,20000,599,1793,11077,10572,8359,742,4260,489,758,3155,0,221,77,148,141
1,20000,642,1811,8618,12245,6173,865,5347,548,590,2645,208,207,145,433,130
1,20000,295,1306,11291,11096,8725,987,4464,641,690,2868,261,262,361,149,57
1,20000,570,1580,9979,10126,7899,946,5497,502,543,2482,129,324,66,221,229
1,20000,604,1256,10456,10513,8177,813,4246,644,679,2987,115,389,120,218,128
1,20000,604,1708,9694,11429,6949,768,4208,810,888,3110,72,209,117,221,127
1,20000,622,1612,9753,9645,7711,1226,5685,769,910,1779,156,196,56,152,120
1,20000,1623,1323,10875,9619,8123,947,4571,620,797,3156,272,317,105,379,0
1,20000,503,1788,10214,9804,6845,1444,4976,725,725,3623,136,362,90,226,90
1,20000,449,1663,10338,10128,7633,773,5549,439,639,2595,149,248,149,149,99
1,20000,590,1966,10418,8946,7813,1130,4153,677,542,3296,125,167,333,208,83
1,20000,463,1902,10513,8645,7778,1197,5124,494,719,3236,201,268,201,334,134
1,20000,349,1796,12206,8947,9559,1324,4678,687,644,3133,0,472,0,472,0
1,20000,566,1594,11451,9349,8549,1055,4894,659,659,3388,125,250,0,125,125
1,20000,847,1882,11467,9861,8424,1196,5613,582,665,2827,552,145,94,109,80
1,20000,591,1970,11429,10758,8730,1058,4405,485,749,3260,0,201,67,134,134
1,20000,627,2089,8979,11038,6468,851,5546,546,588,2899,184,184,123,429,123
1,20000,498,1940,11429,10214,8466,1270,4706,633,769,3394,189,379,126,189,189
1,20000,584,1888,9958,11181,7426,759,4356,468,703,3607,160,373,53,160,107
1,20000,396,1407,11038,8911,8679,1038,4260,583,673,3363,240,372,695,803,576
1,20000,519,1604,11181,11176,8976,1102,4656,570,713,3325,104,260,156,208,104
1,20000,466,1314,8947,10090,7105,789,4899,405,648,3198,57,115,230,460,115
1,20000,700,2144,9861,10067,7778,972,4118,498,588,3575,147,342,98,293,147
1,20000,495,1881,10795,9651,7531,1088,4502,693,693,3290,43,216,173,259,86
1,20000,512,1739,11204,9157,8611,1204,4416,571,675,3584,226,151,113,113,38
