Class,CPU_CLK_UNHALTED.REF_TSC,L2_RQSTS.ALL_PF,ICACHE.IFETCH_STALL,BR_INST_RETIRED.NEAR_TAKEN,BR_INST_RETIRED.NEAR_TAKEN_PS,BR_INST_RETIRED.NOT_TAKEN,BR_MISP_EXEC.ALL_BRANCHES,L1D_PEND_MISS.PENDING_CYCLES,L2_RQSTS.DEMAND_DATA_RD_HIT,L2_RQSTS.DEMAND_DATA_RD_MISS,BR_INST_RETIRED.NEAR_CALL_R3,BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,L2_RQSTS.ALL_RFO,L2_LINES_OUT.DEMAND_DIRTY,L2_TRANS.L2_WB
1,20000,346,1605,6658,6466,5429,824,4902,646,702,3313,126,216,122,262,87
1,20000,405,1729,6815,6954,5801,810,4705,534,942,3012,246,182,192,186,81
1,20000,552,1457,6884,6888,5338,812,5338,476,937,2909,143,240,86,241,72
1,20000,414,1837,6883,7018,5806,738,4557,488,714,3048,175,184,101,228,168
1,20000,612,2153,6961,7219,5474,811,4934,631,924,3206,122,199,142,228,111
1,20000,598,1778,6804,6836,5985,618,5381,509,794,3200,207,245,43,216,64
1,20000,349,1529,7006,6781,6042,803,4342,573,588,3394,237,239,29,246,32
1,20000,378,1889,6537,6507,5094,783,4896,506,811,3266,191,123,63,189,80
1,20000,510,1631,6999,6925,5731,801,4736,585,696,2849,351,142,146,213,84
1,20000,472,1852,6399,6239,4940,701,5259,680,930,3381,215,185,111,199,26
1,20000,367,1837,7131,7194,5815,656,4701,615,639,2965,185,183,60,137,195
1,20000,495,1765,7117,7182,5291,876,5091,701,696,2956,196,263,25,139,89
1,20000,570,1799,7030,7121,5525,773,4391,569,695,3638,167,323,24,172,61
1,20000,529,1468,7242,7371,6240,819,4802,487,705,3308,190,363,59,198,98
1,20000,400,1419,7823,8046,5934,865,4727,474,751,2598,102,319,176,169,108
